lca_id,used_in_sampleset,emission_factor_s1_per_euro,emission_factor_s2_per_euro,emission_factor_s3_per_euro,emission_factor_per_euro,nace_2_list,nace_section_list
29150b5d-a8ed-45a1-8706-fcdc5c78a374,true,0.011619,0.014306,0.063477,0.08940200000000001,"[""M71""]","[""Professional, scientific and technical activities""]"
d283abb2-a454-46dd-9a86-a4edf292ee37,true,0.549831,0.017637,0.134725,0.702193,"[""A01""]","[""Agriculture, forestry and fishing""]"
57108f7e-9e5a-4a15-8723-b2e0ff813afe,false,0.260983,0.008372,0.063948,0.333303,"[""A01""]","[""Agriculture, forestry and fishing""]"
2624089a-7cb1-4224-9eba-a219176e89e3,true,0.017576,0.021335,0.153779,0.19269,"[""C15""]","[""Manufacturing""]"
62654a7b-c490-4e84-8e4b-9509d8568fd8,true,0.309952,0.026918,0.129232,0.466102,"[""C23""]","[""Manufacturing""]"
06f11ffe-8f80-41a8-8441-0550b318399b,true,0.041294,0.05492,0.356001,0.45221500000000003,"[""C22""]","[""Manufacturing""]"
6c98b71f-32f8-4bf2-b315-63b1b85b60aa,true,0.001914,0.003782,0.019476,0.025172,"[""K66""]","[""Financial and insurance activities""]"
a0a0c2c7-0993-48e6-8aee-143bc1f7b934,true,0.009475,0.011667,0.051767,0.072909,"[""M70""]","[""Professional, scientific and technical activities""]"
a82cc76f-4325-4277-b9f2-7e072a9a6e12,true,0.004481,0.011372,0.080492,0.09634499999999999,"[""N82""]","[""Administrative and support service activities""]"
a109f777-9bdd-4e77-a1f6-28f27cbb9e62,false,0.077344,0.006717,0.032248,0.116309,"[""C23""]","[""Manufacturing""]"
ef8f4edb-56cc-4b49-9299-89b08b976fbc,false,0.023872,0.027644,0.356432,0.40794800000000003,"[""C25""]","[""Manufacturing""]"
bc3a9238-a9d9-4fa9-a339-0a36a1e3218c,true,0.126503,0.013605,0.157607,0.297715,"[""C24""]","[""Manufacturing""]"
70b5b00f-fd24-4795-9746-83940278dfd9,false,0.078188,0.008409,0.097413,0.18401,"[""C24""]","[""Manufacturing""]"
8966fa69-5200-486c-8d4b-ce303f99afdd,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
26fa1fb2-fa1d-41dd-80c0-813911b57fa6,false,0.378684,0.069534,0.561236,1.0094539999999999,"[""C20""]","[""Manufacturing""]"
78c6e93f-4e33-43ae-9ad2-8e5a0bdff05f,true,0.018226,0.008113,0.165484,0.191823,"[""C33"",""F43""]","[""Construction"",""Manufacturing""]"
e593d02b-3a45-4530-bc77-7cb69cb0d0bf,true,0.087564,0.000193,0.052855,0.14061200000000001,"[""H50""]","[""Transportation and storage""]"
cabacc9f-866d-4c2a-ad4c-c9299683e24c,true,0.731975,0.02348,0.179355,0.9348099999999999,"[""A01""]","[""Agriculture, forestry and fishing""]"
175b65bc-3c08-4e35-a1aa-8a1638166d91,true,0.011915,0.011772,0.039675,0.063362,"[""G46"",""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
fc924f40-c37f-4a6b-a047-92c24808dd13,false,0.027265,0.036262,0.235056,0.298583,"[""C22""]","[""Manufacturing""]"
14db72b3-d64b-4c0e-817a-47b068ee539c,true,0.415001,0.036041,0.173031,0.624073,"[""C23"",""C32""]","[""Manufacturing""]"
e194b367-2c70-4578-9fd2-2bf0cad7788a,true,0.003215,0.007144,0.109421,0.11978,"[""C27""]","[""Manufacturing""]"
f74bd1ec-8675-44ed-89c4-e3ee1d1ca899,true,0.005236,0.008438,0.12173,0.135404,"[""C28""]","[""Manufacturing""]"
8f22b581-77ed-49d5-b0b6-3a77ffd60d77,true,0.043316,0.053335,0.236651,0.333302,"[""A01"",""M75""]","[""Agriculture, forestry and fishing"",""Professional, scientific and technical activities""]"
5af2b3c4-7430-4660-be12-c5889735eb4f,true,0.005572,0.008978,0.129533,0.14408300000000002,"[""C28"",""C32""]","[""Manufacturing""]"
df555924-7609-49f4-9a7b-df40071be4a3,true,0.006009,0.009682,0.139677,0.155368,"[""C28""]","[""Manufacturing""]"
8d011191-8960-47c8-872e-79a5ecd4107f,true,0.038845,0.032793,0.089806,0.161444,"[""P85""]","[""Education""]"
6bedf8c9-730e-4bdc-994b-45399e65fae1,true,0.030359,0.029994,0.10109,0.161443,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
65da6deb-5a14-43c9-a4cd-35f8702880d5,true,0.00459,0.004938,0.088553,0.098081,"[""C33"",""G46"",""G47"",""S95""]","[""Manufacturing"",""Other service activities"",""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
a332915d-bc9b-49df-a8aa-e3f1d9515b42,true,0.008501,0.01411,0.035543,0.058154,"[""R93""]","[""Arts, entertainment and recreation""]"
093002b1-b258-4743-ba67-a66dc052d735,true,0.006091,0.0075,0.033279,0.04687,"[""M69""]","[""Professional, scientific and technical activities""]"
ccf1f78b-a378-4f14-81d6-8efe54bb741d,false,0.004481,0.011372,0.080492,0.09634499999999999,"[""N82""]","[""Administrative and support service activities""]"
d6f80a3b-e6bd-4d95-b286-eafc65f864c1,true,0.031287,0.01633,0.041785,0.08940200000000001,"[""S95""]","[""Other service activities""]"
7f5c7e07-3dff-4a3a-864c-036b66deadf6,true,0.002749,0.006108,0.093563,0.10242,"[""C27""]","[""Manufacturing""]"
07e84058-3218-4a4a-a164-50a56e79b586,true,0.135249,0.004338,0.03314,0.17272700000000002,"[""A02""]","[""Agriculture, forestry and fishing""]"
f26f2125-946e-4294-a025-73a09a38cd8c,true,0.015343,0.015158,0.051089,0.08159,"[""G47"",""J60""]","[""Information and communication"",""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
8ab988f7-bc1a-4b0c-9d63-84d8ffe3c7ec,true,0.009904,0.011469,0.147881,0.16925400000000002,"[""C25""]","[""Manufacturing""]"
a5aed2c1-5b25-4623-a3f0-3d7ec9796969,true,0.018226,0.008113,0.165484,0.191823,"[""F42"",""F43""]","[""Construction""]"
733f5b1c-e808-4f41-90ef-ac21209a3194,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
ea8f2d99-3d5c-495f-8fc6-81576242e705,true,0.029817,0.049491,0.124666,0.203974,"[""R93""]","[""Arts, entertainment and recreation""]"
43d7ed6e-6dcd-4f93-ab8f-ca2a2f97b4a9,true,0.016964,0.006366,0.126829,0.150159,"[""C11""]","[""Manufacturing""]"
30bab04e-8834-4815-9394-740f6f971eef,true,0.009024,0.011112,0.049302,0.069438,"[""M74""]","[""Professional, scientific and technical activities""]"
7f48f2e5-17b0-4447-8088-7112056a1cda,true,0.01487,0.010633,0.191491,0.216994,"[""C23"",""C28"",""C29""]","[""Manufacturing""]"
4211ee48-2ffd-404d-86f3-addd8823a188,true,0.0142,0.01403,0.047284,0.075514,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
b8172b7d-804e-45a8-9749-b5cd846d59ed,true,0.023504,0.023221,0.078263,0.124988,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
6ae488f1-f526-483b-807b-ae84af69473a,true,0.002838,0.005607,0.028878,0.037323,"[""K66""]","[""Financial and insurance activities""]"
09299294-00e4-48c5-8b4b-7d9d42620f60,true,0.038881,0.020293,0.051926,0.1111,"[""S94""]","[""Other service activities""]"
9e75f260-d1b6-4f32-b7f6-176e65c6cf78,true,0.043343,0.016266,0.324036,0.383645,"[""C10""]","[""Manufacturing""]"
cb780f3c-059f-4287-b275-ebee2e4768ea,true,0.014335,0.01025,0.184597,0.209182,"[""C29""]","[""Manufacturing""]"
7cc8ab6a-ba8d-408b-b625-341660234974,true,0.026768,0.026447,0.089133,0.142348,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
741c3dfd-acfa-4ece-8ade-56dd0410057b,true,0.005079,0.003402,0.105224,0.113705,"[""C25"",""C30""]","[""Manufacturing""]"
864a30d3-3c39-4c11-81a7-8bfc778422a9,true,0.038881,0.020293,0.051926,0.1111,"[""S94""]","[""Other service activities""]"
9c86048b-ec27-4655-ab50-bdea9cbb6bd0,false,0.003894,0.007694,0.039623,0.051211,"[""K64""]","[""Financial and insurance activities""]"
ee603a81-af5c-4d2d-beaa-a68f2d79732e,true,0.041294,0.05492,0.356001,0.45221500000000003,"[""C22""]","[""Manufacturing""]"
4560a44e-260d-4c58-a7c9-9db302e10923,true,0.004752,0.009389,0.048353,0.062494,"[""K66""]","[""Financial and insurance activities""]"
21923436-ab72-4ef3-b7e4-4ce2de0ac1d4,true,0.030679,0.013656,0.278552,0.32288700000000004,"[""B09"",""F43""]","[""Construction"",""Mining and quarrying""]"
58a387c4-2270-4896-8832-3253c47bb9e9,true,0.086628,0.039376,0.196882,0.322886,"[""B09""]","[""Mining and quarrying""]"
b7cec80c-0700-4074-9cca-05653c564f0b,true,0.006824,0.007342,0.131654,0.14582,"[""C31""]","[""Manufacturing""]"
957d915d-3950-45d8-9669-7e7344592f04,true,0.004901,0.007897,0.113927,0.126725,"[""C28""]","[""Manufacturing""]"
b6fa0282-5037-450e-80f8-2bfc71d821ce,true,0.012078,0.011933,0.040219,0.06423,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
1c501da8-4cf5-4143-9ceb-9b6de48bab19,true,0.258169,0.027766,0.321647,0.6075820000000001,"[""C24""]","[""Manufacturing""]"
6cdb053c-34f0-4377-b369-e21c532231b9,true,0.003695,0.00441,0.061333,0.069438,"[""C26""]","[""Manufacturing""]"
0c2e2580-fc4a-4a53-abfb-3d7b63ad33df,true,0.210848,0.089339,0.216258,0.516445,"[""H49""]","[""Transportation and storage""]"
3e48ec44-efd6-4723-9bf4-05043e44d7ac,true,0.011619,0.014306,0.063477,0.08940200000000001,"[""M71""]","[""Professional, scientific and technical activities""]"
e0278983-2d9f-49c5-a3db-2ef696d0a390,true,0.031517,0.042219,0.147597,0.221333,"[""I56""]","[""Accommodation and food service activities""]"
d905d5d4-bde8-4fac-888e-f5013846a2ab,true,0.001827,0.002652,0.018089,0.022568,"[""J59"",""J60""]","[""Information and communication""]"
8bb23a37-0b95-492d-a4cf-28c4da851aad,false,0.070161,0.013756,0.075791,0.15970800000000002,"[""B08""]","[""Mining and quarrying""]"
8001165c-b503-4fd7-989b-f82d5bcbadea,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
64d5b642-9ba7-49bc-ba55-693f4f0a17fa,true,0.469043,0.079424,0.309092,0.857559,"[""E38""]","[""Water supply; sewerage, waste management and remediation activities""]"
0b7f911c-e12b-4886-8322-739661042a60,true,0.009588,0.011806,0.052384,0.073778,"[""M73""]","[""Professional, scientific and technical activities""]"
50452164-8334-4b3e-991e-691a4a9f5c62,true,0.002178,0.004303,0.022162,0.028643000000000002,"[""K65""]","[""Financial and insurance activities""]"
ac032747-26eb-46b4-a5ad-3ff3c75d3ae5,true,0.018691,0.021645,0.279079,0.319415,"[""C25""]","[""Manufacturing""]"
d48bf781-f491-4ebf-8c81-2976ec989ca3,true,0.004279,0.01086,0.076866,0.092005,"[""N77""]","[""Administrative and support service activities""]"
12d29025-00cf-42fb-a312-aab81d6f7256,true,0.029869,0.02951,0.09946,0.158839,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
200747b3-275d-428a-bb74-e819039accc6,true,0.008279,0.009587,0.123614,0.14148,"[""C25"",""C30""]","[""Manufacturing""]"
5a0652d3-cdd1-4144-9d1c-62dbda544b59,true,0.003678,0.005253,0.046619,0.05555,"[""J63"",""R91""]","[""Arts, entertainment and recreation"",""Information and communication""]"
07bd8e55-a9e6-4f2b-982b-9cdc47e6039d,false,1.143158,0.036669,0.280107,1.459934,"[""A01""]","[""Agriculture, forestry and fishing""]"
24473126-a554-4957-9b83-29798f131b25,true,0.008286,0.008915,0.159866,0.177067,"[""C13"",""C16"",""C17"",""C20"",""C28"",""C32""]","[""Manufacturing""]"
fa81ef77-3b83-4e6e-88eb-c734c1e35592,false,0.731975,0.02348,0.179355,0.9348099999999999,"[""A01""]","[""Agriculture, forestry and fishing""]"
c52684be-1352-431d-8052-11b17e5107d7,true,0.006126,0.004381,0.078894,0.08940100000000001,"[""C29"",""S95""]","[""Manufacturing"",""Other service activities""]"
da06a165-f89a-4382-8f54-79416492ae71,false,0.022194,0.014057,0.073982,0.110233,"[""A03""]","[""Agriculture, forestry and fishing""]"
